inventory_id,site_id,part_id,quantity_on_hand,quantity_allocated,quantity_available,reorder_point,safety_stock,stockout_flag,below_reorder_point,below_safety_stock,days_of_supply,snapshot_date
1,SITE-019,PART-0889,373,279,94,57,37,False,False,False,4.7,2024-07-18
2,SITE-025,PART-0335,400,388,12,82,32,False,True,True,0.5,2025-04-11
3,SITE-046,PART-0784,105,102,3,58,16,False,True,True,0.2,2023-06-13
4,SITE-036,PART-0333,231,199,32,69,67,False,True,True,2.5,2025-05-09
5,SITE-054,PART-0239,185,54,131,61,49,False,False,False,13.1,2025-04-03
6,SITE-050,PART-0932,348,106,242,73,38,False,False,False,10.1,2025-09-09
7,SITE-062,PART-0347,292,116,176,62,25,False,False,False,10.4,2024-01-05
8,SITE-043,PART-0064,370,21,349,68,12,False,False,False,16.6,2024-09-21
9,SITE-016,PART-0851,470,443,27,39,10,False,True,False,3.9,2025-11-27
10,SITE-098,PART-0703,297,264,33,43,13,False,True,False,3.7,2024-07-22
11,SITE-032,PART-0637,387,25,362,56,49,False,False,False,90.5,2026-12-01
12,SITE-031,PART-0157,305,113,192,67,22,False,False,False,8.0,2023-01-23
13,SITE-088,PART-0644,132,116,16,62,16,False,True,False,3.2,2025-05-26
14,SITE-055,PART-0033,397,131,266,92,82,False,False,False,24.2,2023-09-20
15,SITE-069,PART-0722,236,5,231,63,57,False,False,False,231.0,2023-07-20
16,SITE-061,PART-0391,290,283,7,64,43,False,True,True,1.2,2023-08-01
17,SITE-086,PART-0903,120,109,11,57,38,False,True,True,5.5,2024-11-13
18,SITE-040,PART-0432,391,131,260,63,56,False,False,False,260.0,2023-03-07
19,SITE-093,PART-0451,464,117,347,50,21,False,False,False,18.3,2024-09-21
20,SITE-023,PART-0558,134,63,71,30,15,False,False,False,3.1,2026-02-06
21,SITE-044,PART-0670,190,70,120,30,24,False,False,False,120.0,2023-04-27
22,SITE-073,PART-0247,133,77,56,72,61,False,True,True,2.7,2024-05-22
23,SITE-046,PART-0710,36,16,20,94,59,False,True,True,2.0,2025-09-21
24,SITE-042,PART-0365,411,203,208,52,32,False,False,False,14.9,2026-08-25
25,SITE-093,PART-0696,141,114,27,63,35,False,True,True,1.2,2025-08-03
26,SITE-043,PART-0191,372,61,311,57,46,False,False,False,20.7,2024-10-28
27,SITE-020,PART-0682,25,19,6,41,23,False,True,True,1.0,2024-07-04
28,SITE-053,PART-0506,84,67,17,56,50,False,True,True,0.7,2024-01-09
29,SITE-051,PART-0212,100,60,40,73,41,False,True,True,1.6,2023-04-22
30,SITE-041,PART-0145,236,222,14,24,23,False,True,True,0.7,2023-03-12
31,SITE-002,PART-0130,339,144,195,44,33,False,False,False,10.8,2023-10-08
32,SITE-100,PART-0405,324,253,71,45,44,False,False,False,3.2,2026-05-02
33,SITE-063,PART-0900,229,50,179,39,36,False,False,False,11.2,2024-10-01
34,SITE-072,PART-0085,108,81,27,85,54,False,True,True,2.7,2024-02-10
35,SITE-005,PART-0870,243,144,99,93,85,False,False,False,49.5,2023-05-06
