maintenance_event_id,site_id,part_id,event_date,equipment_id,status,days_non_mission_capable,backlog_days,defect_flag
1,SITE-035,PART-7985,2023-01-06,EQ-6441,awaiting_parts,25,27,True
2,SITE-049,PART-3256,2026-09-09,EQ-1091,in_progress,21,38,False
3,SITE-097,PART-5042,2024-04-17,EQ-7030,awaiting_parts,5,39,False
4,SITE-081,PART-2744,2026-06-28,EQ-5238,in_progress,4,45,False
5,SITE-076,PART-2608,2023-03-22,EQ-2218,completed,6,0,False
6,SITE-014,PART-7390,2023-07-11,EQ-2771,deferred,4,4,False
7,SITE-065,PART-8634,2024-07-06,EQ-3196,open,30,37,False
8,SITE-058,PART-5569,2024-03-26,EQ-5118,completed,3,0,False
9,SITE-088,PART-9323,2026-07-03,EQ-4862,completed,3,0,False
10,SITE-091,PART-3738,2024-05-09,EQ-3209,completed,2,0,False
11,SITE-047,PART-1196,2026-08-07,EQ-1260,deferred,1,10,False
12,SITE-003,PART-8307,2024-09-26,EQ-4523,completed,0,0,False
13,SITE-021,PART-2279,2025-02-20,EQ-1234,deferred,3,43,False
14,SITE-089,PART-5443,2025-10-24,EQ-2686,in_progress,15,31,True
15,SITE-064,PART-3012,2023-09-23,EQ-9367,open,18,14,True
16,SITE-045,PART-8618,2023-08-11,EQ-4821,awaiting_parts,2,8,False
17,SITE-093,PART-8758,2025-10-03,EQ-5957,in_progress,11,18,False
18,SITE-030,PART-6120,2025-12-26,EQ-3458,in_progress,17,40,False
19,SITE-066,PART-3206,2026-09-08,EQ-7477,in_progress,9,5,False
20,SITE-006,PART-8781,2023-12-28,EQ-8678,in_progress,23,10,False
21,SITE-098,PART-6896,2025-07-05,EQ-2316,deferred,17,4,False
22,SITE-097,PART-7156,2025-03-28,EQ-5675,in_progress,21,7,False
23,SITE-073,PART-3238,2023-02-03,EQ-4777,in_progress,19,38,False
24,SITE-051,PART-2340,2025-05-08,EQ-9057,completed,6,0,False
25,SITE-002,PART-6897,2026-03-11,EQ-8623,deferred,2,13,False
26,SITE-083,PART-9031,2023-03-19,EQ-1457,open,16,40,False
27,SITE-058,PART-9631,2025-10-06,EQ-1960,open,3,34,False
28,SITE-082,PART-2365,2024-06-11,EQ-5429,awaiting_parts,23,6,False
29,SITE-014,PART-2823,2024-04-20,EQ-6774,in_progress,11,27,False
30,SITE-053,PART-5443,2024-05-17,EQ-4557,completed,6,0,True
31,SITE-064,PART-1846,2023-03-02,EQ-3459,in_progress,29,44,False
32,SITE-022,PART-3279,2026-03-12,EQ-3900,open,9,42,False
33,SITE-026,PART-3547,2024-04-03,EQ-8472,awaiting_parts,14,21,False
34,SITE-036,PART-3671,2024-02-26,EQ-2238,in_progress,9,29,False
35,SITE-047,PART-6694,2023-11-25,EQ-6919,completed,3,0,True
36,SITE-076,PART-2745,2025-12-04,EQ-5986,deferred,28,29,True
37,SITE-031,PART-7156,2026-02-23,EQ-3820,deferred,6,24,False
38,SITE-006,PART-5057,2024-03-09,EQ-3363,completed,10,0,False
39,SITE-022,PART-9488,2025-11-15,EQ-4723,in_progress,26,22,False
40,SITE-050,PART-7696,2023-07-14,EQ-2879,awaiting_parts,24,9,False
41,SITE-079,PART-3619,2025-12-05,EQ-8990,open,7,43,False
42,SITE-022,PART-5569,2026-07-01,EQ-9958,in_progress,5,32,False
43,SITE-067,PART-6513,2026-01-23,EQ-8435,open,21,37,False
44,SITE-057,PART-9988,2023-01-11,EQ-4891,open,30,35,False
45,SITE-018,PART-4850,2024-02-10,EQ-6292,in_progress,1,37,False
46,SITE-051,PART-6881,2024-01-11,EQ-4834,awaiting_parts,5,26,True
47,SITE-065,PART-6817,2023-11-25,EQ-5215,deferred,5,8,False
48,SITE-070,PART-1942,2026-01-25,EQ-8869,open,28,1,False
49,SITE-047,PART-4012,2024-12-10,EQ-6576,in_progress,7,1,False
50,SITE-016,PART-2795,2023-12-20,EQ-6951,in_progress,5,15,False
51,SITE-011,PART-7063,2025-09-03,EQ-9905,completed,4,0,False
52,SITE-080,PART-2245,2026-01-10,EQ-1685,completed,3,0,False
53,SITE-029,PART-6538,2024-09-07,EQ-4611,deferred,30,7,False
54,SITE-065,PART-2754,2025-09-06,EQ-9124,in_progress,29,13,False
55,SITE-086,PART-1576,2026-09-20,EQ-8999,completed,7,0,False
56,SITE-071,PART-7132,2024-11-10,EQ-2168,open,26,12,False
57,SITE-053,PART-4239,2024-04-15,EQ-4876,completed,2,0,False
58,SITE-065,PART-3092,2026-05-27,EQ-3544,open,13,13,False
59,SITE-078,PART-8098,2024-01-17,EQ-3587,in_progress,22,37,False
60,SITE-011,PART-6387,2023-04-18,EQ-4029,awaiting_parts,2,41,False
61,SITE-077,PART-9488,2024-07-17,EQ-5295,open,22,10,False
62,SITE-077,PART-6616,2026-01-26,EQ-2369,open,7,35,False
63,SITE-013,PART-5863,2026-01-28,EQ-8347,awaiting_parts,13,35,False
64,SITE-097,PART-8480,2025-08-23,EQ-9070,awaiting_parts,19,39,True
65,SITE-084,PART-3907,2026-04-12,EQ-6131,in_progress,10,28,False
66,SITE-030,PART-6896,2026-05-18,EQ-6045,completed,7,0,False
67,SITE-092,PART-9495,2025-10-02,EQ-2010,completed,3,0,False
68,SITE-072,PART-6722,2024-02-21,EQ-6325,awaiting_parts,14,35,False
69,SITE-026,PART-5407,2025-05-04,EQ-6662,in_progress,10,2,False
70,SITE-073,PART-6313,2024-04-28,EQ-6230,open,13,16,False
71,SITE-051,PART-6621,2024-09-16,EQ-9988,in_progress,10,24,False
72,SITE-043,PART-9009,2023-04-09,EQ-7310,in_progress,28,37,False
73,SITE-011,PART-6899,2025-09-22,EQ-2726,completed,0,0,False
74,SITE-077,PART-4185,2025-09-28,EQ-2477,open,26,18,False
75,SITE-097,PART-9972,2026-11-10,EQ-8172,open,24,25,False
76,SITE-036,PART-8090,2025-12-27,EQ-1496,deferred,1,25,False
77,SITE-091,PART-2279,2025-10-28,EQ-2649,in_progress,11,33,False
78,SITE-041,PART-1991,2024-07-01,EQ-2586,completed,6,0,False
79,SITE-094,PART-9154,2023-11-13,EQ-6908,awaiting_parts,17,25,False
80,SITE-088,PART-5697,2025-05-09,EQ-4829,open,27,7,False
81,SITE-013,PART-6733,2026-10-03,EQ-3236,completed,0,0,False
82,SITE-022,PART-7277,2025-10-15,EQ-1726,awaiting_parts,11,4,False
83,SITE-020,PART-6460,2025-11-11,EQ-6046,deferred,4,34,False
84,SITE-086,PART-1396,2025-06-21,EQ-9666,in_progress,22,6,False
85,SITE-065,PART-5925,2026-04-18,EQ-7536,completed,5,0,True
86,SITE-082,PART-3019,2023-12-01,EQ-8276,completed,5,0,False
87,SITE-039,PART-5519,2025-08-06,EQ-1620,deferred,30,11,False
88,SITE-080,PART-9618,2023-04-17,EQ-6403,awaiting_parts,20,36,False
89,SITE-077,PART-3043,2025-02-10,EQ-3020,in_progress,12,42,False
90,SITE-095,PART-5569,2025-10-19,EQ-5124,deferred,27,8,False
91,SITE-049,PART-2627,2025-02-23,EQ-7362,awaiting_parts,23,14,False
92,SITE-061,PART-8903,2023-03-05,EQ-8794,in_progress,15,11,False
93,SITE-008,PART-9234,2026-06-11,EQ-7713,deferred,3,27,False
94,SITE-031,PART-8893,2023-12-21,EQ-3244,deferred,3,35,False
95,SITE-012,PART-8738,2024-02-12,EQ-9310,in_progress,13,19,False
96,SITE-031,PART-6717,2025-09-03,EQ-5453,awaiting_parts,19,16,False
97,SITE-069,PART-7517,2026-12-04,EQ-6064,completed,0,0,False
98,SITE-024,PART-8066,2025-07-11,EQ-4885,awaiting_parts,3,18,False
99,SITE-005,PART-1984,2026-06-21,EQ-2735,open,11,36,True
100,SITE-065,PART-6751,2024-06-26,EQ-5174,in_progress,26,26,False
101,SITE-042,PART-3703,2024-08-08,EQ-7863,in_progress,8,4,False
102,SITE-015,PART-9975,2026-04-12,EQ-7375,awaiting_parts,21,25,True
103,SITE-057,PART-9132,2026-06-09,EQ-6259,in_progress,3,31,True
104,SITE-090,PART-2245,2025-05-21,EQ-6883,open,15,23,False
105,SITE-059,PART-7063,2024-12-07,EQ-1811,deferred,20,3,False
106,SITE-074,PART-4808,2025-08-13,EQ-9187,in_progress,4,4,False
107,SITE-043,PART-2462,2024-08-28,EQ-8594,completed,5,0,False
108,SITE-072,PART-1396,2023-04-07,EQ-5744,in_progress,1,5,False
109,SITE-080,PART-2632,2023-04-07,EQ-8656,deferred,3,43,False
110,SITE-012,PART-3747,2023-02-08,EQ-5397,deferred,22,41,False
111,SITE-087,PART-4870,2025-06-02,EQ-3095,completed,1,0,True
112,SITE-090,PART-9154,2024-07-04,EQ-3371,open,30,42,False
113,SITE-006,PART-7058,2024-05-21,EQ-8853,in_progress,6,27,False
114,SITE-078,PART-4848,2025-12-28,EQ-2539,in_progress,6,20,False
115,SITE-016,PART-5286,2024-06-16,EQ-7530,completed,10,0,False
116,SITE-084,PART-4100,2026-07-07,EQ-3306,deferred,28,2,False
117,SITE-074,PART-3184,2024-02-08,EQ-4554,deferred,17,45,False
118,SITE-047,PART-6797,2024-05-16,EQ-5738,awaiting_parts,24,11,False
119,SITE-046,PART-4100,2023-10-20,EQ-6935,completed,7,0,False
120,SITE-088,PART-6621,2024-06-18,EQ-3879,deferred,16,39,False
121,SITE-098,PART-2243,2025-10-05,EQ-4129,in_progress,23,19,False
122,SITE-100,PART-3158,2024-03-21,EQ-5292,awaiting_parts,24,12,False
123,SITE-057,PART-7231,2023-07-03,EQ-2846,awaiting_parts,30,7,False
124,SITE-031,PART-3487,2025-02-25,EQ-9350,deferred,13,3,False
125,SITE-094,PART-3591,2026-01-15,EQ-9221,deferred,10,40,False
