order_id,order_supplier_name,order_supplier_id,order_part_id,order_quantity,order_status,order_created_at,order_updated_at,site_id
1,Mesa Tactical Manufacturing,MTM,PART-0915,907,delivered,2023-06-20,2023-07-19,SITE-098
2,Heritage Logistics Supply,HLS,PART-0631,840,delivered,2023-10-22,2023-11-09,SITE-032
3,Patriot Precision Parts,PPP,PART-0694,279,pending,2024-07-11,2024-07-12,SITE-076
4,Mesa Tactical Manufacturing,MTM,PART-0696,641,shipped,2024-01-27,2024-02-03,SITE-004
5,Cedar Valley Manufacturing,CVM,PART-0539,166,pending,2026-10-09,2026-10-10,SITE-098
6,Apex Defense Components,ADC,PART-0767,997,shipped,2023-06-22,2023-06-28,SITE-042
7,Atlas Ground Support,AGS,PART-0010,778,shipped,2024-07-05,2024-07-25,SITE-087
8,Granite State Components,GSC,PART-0650,491,delivered,2024-03-11,2024-03-12,SITE-097
9,Northstar Defense Supply,NDS,PART-0200,683,shipped,2025-11-14,2025-11-16,SITE-011
10,Mesa Tactical Manufacturing,MTM,PART-0112,935,pending,2024-09-05,2024-09-30,SITE-034
11,Gulf Coast Maintenance Parts,GCMP,PART-0357,695,pending,2024-06-01,2024-06-16,SITE-016
12,Evergreen Field Support,EFS,PART-0986,28,shipped,2023-02-03,2023-02-28,SITE-027
13,Cascade Aerospace Systems,CAS,PART-0636,592,shipped,2025-09-09,2025-09-28,SITE-067
14,Compass Maritime Supply,CMS,PART-0506,510,pending,2023-02-24,2023-03-16,SITE-073
15,Falcon Electronics Group,FEG,PART-0186,986,delivered,2023-04-08,2023-04-18,SITE-027
16,Redstone Logistics Group,RLG,PART-0163,922,shipped,2024-09-08,2024-10-07,SITE-065
17,Evergreen Field Support,EFS,PART-0475,144,shipped,2026-07-27,2026-08-26,SITE-044
18,Blue Ridge Defense Manufacturing,BRDM,PART-0492,629,shipped,2025-03-05,2025-03-19,SITE-021
19,Trident Marine Components,TMC,PART-0670,419,delivered,2026-03-28,2026-04-08,SITE-008
20,Compass Maritime Supply,CMS,PART-0890,869,pending,2025-07-11,2025-07-17,SITE-024
21,Sterling Power Systems,SPS,PART-0974,885,shipped,2026-04-11,2026-05-10,SITE-056
22,Ironclad Industrial Systems,IIS,PART-0920,567,shipped,2025-07-28,2025-08-03,SITE-033
23,Prairie Technical Components,PTC,PART-0255,485,shipped,2024-03-03,2024-03-17,SITE-036
24,Lone Star Equipment Group,LSEG,PART-0540,850,shipped,2026-04-06,2026-04-27,SITE-084
25,Northstar Defense Supply,NDS,PART-0449,946,pending,2026-12-09,2026-12-12,SITE-020
26,Evergreen Field Support,EFS,PART-0131,93,pending,2026-06-20,2026-07-13,SITE-099
27,Harborline Industrial Supply,HIS,PART-0101,255,pending,2026-04-11,2026-05-09,SITE-099
28,Trident Marine Components,TMC,PART-0142,237,shipped,2026-12-28,2027-01-05,SITE-006
29,Patriot Precision Parts,PPP,PART-0492,748,delivered,2023-08-01,2023-08-04,SITE-049
30,Trident Marine Components,TMC,PART-0029,523,delivered,2024-12-13,2025-01-12,SITE-055
31,Evergreen Field Support,EFS,PART-0336,711,delivered,2023-09-04,2023-09-30,SITE-017
32,Summit Tactical Supply,STS,PART-0084,286,delivered,2023-02-17,2023-03-06,SITE-085
33,Gulf Coast Maintenance Parts,GCMP,PART-0282,388,shipped,2025-08-17,2025-09-05,SITE-100
34,Compass Maritime Supply,CMS,PART-0791,685,delivered,2026-02-16,2026-03-02,SITE-041
35,Granite State Components,GSC,PART-0104,539,pending,2024-05-12,2024-05-21,SITE-070
36,Ironclad Industrial Systems,IIS,PART-0477,762,pending,2023-06-19,2023-07-10,SITE-013
37,Sentinel Equipment Supply,SES,PART-0278,541,pending,2024-02-04,2024-02-15,SITE-007
38,Falcon Electronics Group,FEG,PART-0564,809,shipped,2026-06-19,2026-07-18,SITE-034
39,Pinnacle Hydraulic Systems,PHS,PART-0895,558,shipped,2024-01-09,2024-02-01,SITE-085
40,Gulf Coast Maintenance Parts,GCMP,PART-0534,625,delivered,2024-11-05,2024-11-10,SITE-098
41,Patriot Precision Parts,PPP,PART-0272,522,shipped,2023-12-21,2024-01-18,SITE-082
42,Compass Maritime Supply,CMS,PART-0445,885,delivered,2023-12-26,2024-01-22,SITE-045
43,Cedar Valley Manufacturing,CVM,PART-0299,109,shipped,2024-06-27,2024-07-24,SITE-087
44,Sterling Power Systems,SPS,PART-0566,658,shipped,2024-12-16,2025-01-14,SITE-040
45,Frontier Aviation Components,FAC,PART-0889,168,shipped,2023-11-03,2023-11-11,SITE-062
46,Vector Aerospace Supply,VAS,PART-0313,314,shipped,2024-02-11,2024-02-12,SITE-048
47,Granite State Components,GSC,PART-0053,926,shipped,2026-11-21,2026-12-14,SITE-013
48,Compass Maritime Supply,CMS,PART-0752,427,shipped,2023-11-11,2023-11-14,SITE-052
49,Granite State Components,GSC,PART-0433,62,shipped,2024-02-09,2024-02-28,SITE-090
50,Patriot Precision Parts,PPP,PART-0890,450,pending,2024-01-27,2024-02-04,SITE-072
51,Prairie Technical Components,PTC,PART-0538,436,delivered,2026-04-13,2026-04-15,SITE-043
52,Falcon Electronics Group,FEG,PART-0353,207,delivered,2025-12-01,2025-12-11,SITE-071
53,Compass Maritime Supply,CMS,PART-0125,394,delivered,2025-07-21,2025-08-11,SITE-025
54,Heritage Logistics Supply,HLS,PART-0862,180,shipped,2024-08-26,2024-08-28,SITE-080
55,Lone Star Equipment Group,LSEG,PART-0356,279,shipped,2023-08-15,2023-08-17,SITE-019
56,Titan Mobility Systems,TMS,PART-0023,469,pending,2026-08-12,2026-09-03,SITE-075
57,Compass Maritime Supply,CMS,PART-0166,496,delivered,2025-02-11,2025-02-25,SITE-083
58,Heritage Logistics Supply,HLS,PART-0384,208,pending,2026-02-18,2026-02-20,SITE-075
59,Blue Ridge Defense Manufacturing,BRDM,PART-0582,973,delivered,2024-08-23,2024-08-28,SITE-069
60,Prairie Technical Components,PTC,PART-0456,456,shipped,2024-06-15,2024-06-25,SITE-067
61,Keystone Industrial Supply,KIS,PART-0425,732,delivered,2026-12-28,2027-01-07,SITE-075
62,Apex Defense Components,ADC,PART-0189,382,shipped,2024-11-27,2024-12-15,SITE-003
63,Vector Aerospace Supply,VAS,PART-0025,528,shipped,2026-11-28,2026-12-21,SITE-051
64,Summit Tactical Supply,STS,PART-0423,394,delivered,2024-07-21,2024-08-03,SITE-074
65,Granite State Components,GSC,PART-0762,56,delivered,2025-09-07,2025-09-12,SITE-043
66,Lone Star Equipment Group,LSEG,PART-0458,671,pending,2023-04-11,2023-04-19,SITE-086
67,Cedar Valley Manufacturing,CVM,PART-0923,136,pending,2024-05-08,2024-05-15,SITE-090
68,Summit Tactical Supply,STS,PART-0719,226,delivered,2024-03-01,2024-03-11,SITE-050
69,Harborline Industrial Supply,HIS,PART-0790,680,shipped,2024-05-02,2024-05-16,SITE-079
70,Atlas Ground Support,AGS,PART-0461,197,pending,2026-04-08,2026-04-10,SITE-041
71,Redstone Logistics Group,RLG,PART-0568,927,delivered,2025-12-27,2026-01-10,SITE-083
72,Redstone Logistics Group,RLG,PART-0335,416,pending,2023-08-15,2023-09-08,SITE-001
73,Frontier Aviation Components,FAC,PART-0405,866,pending,2024-09-25,2024-09-27,SITE-074
74,Frontier Aviation Components,FAC,PART-0612,990,shipped,2025-09-25,2025-10-05,SITE-089
75,Keystone Industrial Supply,KIS,PART-0348,414,shipped,2026-02-26,2026-03-22,SITE-031
76,Liberty Mechanical Systems,LMS,PART-0307,206,shipped,2023-04-05,2023-05-05,SITE-096
77,Evergreen Field Support,EFS,PART-0059,775,delivered,2023-12-17,2023-12-24,SITE-018
78,Frontier Aviation Components,FAC,PART-0535,807,pending,2024-08-23,2024-09-21,SITE-099
79,Ironclad Industrial Systems,IIS,PART-0777,679,shipped,2023-11-22,2023-11-30,SITE-047
80,Heritage Logistics Supply,HLS,PART-0266,68,pending,2026-03-26,2026-04-09,SITE-066
81,Evergreen Field Support,EFS,PART-0238,774,pending,2025-03-10,2025-03-30,SITE-044
82,Granite State Components,GSC,PART-0176,828,delivered,2026-02-15,2026-02-25,SITE-057
83,Ironclad Industrial Systems,IIS,PART-0188,75,delivered,2025-07-23,2025-08-22,SITE-028
84,Heritage Logistics Supply,HLS,PART-0647,403,delivered,2023-06-09,2023-07-06,SITE-049
85,Granite State Components,GSC,PART-0579,3,shipped,2026-08-10,2026-08-12,SITE-073
86,Mesa Tactical Manufacturing,MTM,PART-0590,477,shipped,2023-09-08,2023-09-18,SITE-009
87,Keystone Industrial Supply,KIS,PART-0912,309,delivered,2023-03-03,2023-03-10,SITE-018
88,Ironclad Industrial Systems,IIS,PART-0187,896,delivered,2025-01-15,2025-01-28,SITE-068
89,Evergreen Field Support,EFS,PART-0615,279,delivered,2024-08-14,2024-09-05,SITE-082
90,Summit Tactical Supply,STS,PART-0738,795,delivered,2026-10-06,2026-11-02,SITE-076
91,Summit Tactical Supply,STS,PART-0986,247,pending,2025-03-05,2025-03-12,SITE-013
92,Redstone Logistics Group,RLG,PART-0497,275,delivered,2025-03-14,2025-03-15,SITE-030
93,Titan Mobility Systems,TMS,PART-0799,605,shipped,2024-06-20,2024-07-10,SITE-045
94,Pinnacle Hydraulic Systems,PHS,PART-0341,19,shipped,2025-10-04,2025-10-26,SITE-098
95,Lone Star Equipment Group,LSEG,PART-0408,739,pending,2026-10-22,2026-11-13,SITE-023
96,Apex Defense Components,ADC,PART-0855,351,shipped,2025-12-22,2026-01-17,SITE-100
97,Blue Ridge Defense Manufacturing,BRDM,PART-0481,974,pending,2024-07-24,2024-07-29,SITE-047
98,Lone Star Equipment Group,LSEG,PART-0101,310,delivered,2026-03-11,2026-04-04,SITE-094
99,Sentinel Equipment Supply,SES,PART-0009,258,delivered,2026-12-05,2026-12-14,SITE-002
100,Cascade Aerospace Systems,CAS,PART-0333,565,pending,2024-08-21,2024-08-23,SITE-041
101,Keystone Industrial Supply,KIS,PART-0570,3,pending,2025-04-07,2025-04-12,SITE-088
102,Vector Aerospace Supply,VAS,PART-0882,21,delivered,2024-06-14,2024-06-29,SITE-018
103,Heritage Logistics Supply,HLS,PART-0330,794,pending,2025-06-11,2025-06-20,SITE-086
104,Cascade Aerospace Systems,CAS,PART-0827,368,pending,2023-05-03,2023-05-06,SITE-046
105,Frontier Aviation Components,FAC,PART-0845,359,delivered,2023-10-14,2023-11-08,SITE-050
106,Granite State Components,GSC,PART-0802,671,shipped,2024-05-22,2024-06-10,SITE-050
107,Granite State Components,GSC,PART-0464,687,shipped,2025-06-18,2025-07-09,SITE-074
108,Granite State Components,GSC,PART-0263,163,shipped,2023-10-03,2023-10-28,SITE-012
109,Redstone Logistics Group,RLG,PART-0674,455,shipped,2023-08-14,2023-08-15,SITE-014
110,Ranger Vehicle Parts,RVP,PART-0375,126,pending,2023-06-28,2023-07-04,SITE-003
111,Compass Maritime Supply,CMS,PART-0471,756,pending,2026-01-06,2026-01-12,SITE-094
112,Falcon Electronics Group,FEG,PART-0579,38,shipped,2026-08-14,2026-08-29,SITE-054
113,Northstar Defense Supply,NDS,PART-0128,853,delivered,2026-12-22,2027-01-10,SITE-009
114,Titan Mobility Systems,TMS,PART-0866,942,delivered,2025-01-10,2025-01-18,SITE-039
115,Liberty Mechanical Systems,LMS,PART-0320,934,delivered,2026-06-12,2026-06-29,SITE-002
116,Keystone Industrial Supply,KIS,PART-0427,976,pending,2024-07-06,2024-07-12,SITE-100
117,Sterling Power Systems,SPS,PART-0057,601,shipped,2023-04-21,2023-04-25,SITE-083
118,Pinnacle Hydraulic Systems,PHS,PART-0172,162,pending,2025-12-10,2025-12-17,SITE-050
119,Frontier Aviation Components,FAC,PART-0560,771,pending,2024-09-24,2024-10-21,SITE-054
120,Cascade Aerospace Systems,CAS,PART-0387,947,pending,2025-10-19,2025-10-22,SITE-011
121,Cedar Valley Manufacturing,CVM,PART-0136,722,shipped,2025-08-26,2025-09-16,SITE-077
122,Keystone Industrial Supply,KIS,PART-0222,258,shipped,2026-09-11,2026-09-26,SITE-003
123,Gulf Coast Maintenance Parts,GCMP,PART-0116,738,pending,2023-09-04,2023-09-13,SITE-032
124,Apex Defense Components,ADC,PART-0684,979,pending,2026-08-10,2026-09-06,SITE-009
125,Lone Star Equipment Group,LSEG,PART-0063,575,pending,2025-06-03,2025-06-12,SITE-037
126,Atlas Ground Support,AGS,PART-0411,282,shipped,2025-03-15,2025-03-20,SITE-041
127,Harborline Industrial Supply,HIS,PART-0585,834,delivered,2026-08-15,2026-08-16,SITE-099
128,Cedar Valley Manufacturing,CVM,PART-0341,210,pending,2026-11-11,2026-12-06,SITE-033
129,Frontier Aviation Components,FAC,PART-0898,554,shipped,2024-03-17,2024-04-11,SITE-081
130,Keystone Industrial Supply,KIS,PART-0443,233,delivered,2026-12-19,2027-01-11,SITE-100
131,Keystone Industrial Supply,KIS,PART-0539,711,delivered,2025-05-21,2025-05-26,SITE-057
132,Evergreen Field Support,EFS,PART-0759,388,delivered,2025-07-21,2025-07-28,SITE-088
133,Ranger Vehicle Parts,RVP,PART-0634,730,pending,2024-01-06,2024-01-21,SITE-075
134,Pinnacle Hydraulic Systems,PHS,PART-0183,475,shipped,2024-10-09,2024-10-17,SITE-066
135,Northstar Defense Supply,NDS,PART-0689,331,pending,2024-06-15,2024-07-12,SITE-020
136,Vector Aerospace Supply,VAS,PART-0817,716,pending,2025-07-17,2025-07-31,SITE-076
137,Mesa Tactical Manufacturing,MTM,PART-0117,870,delivered,2026-01-19,2026-02-02,SITE-074
138,Ranger Vehicle Parts,RVP,PART-0958,857,shipped,2024-03-28,2024-04-07,SITE-079
139,Granite State Components,GSC,PART-0393,148,shipped,2025-08-17,2025-09-09,SITE-025
140,Blue Ridge Defense Manufacturing,BRDM,PART-0359,534,pending,2026-11-24,2026-12-04,SITE-067
141,Granite State Components,GSC,PART-0404,754,pending,2025-04-12,2025-05-10,SITE-023
142,Ironclad Industrial Systems,IIS,PART-0060,815,delivered,2024-08-05,2024-08-11,SITE-081
143,Sterling Power Systems,SPS,PART-0746,682,delivered,2023-10-04,2023-11-02,SITE-026
144,Ranger Vehicle Parts,RVP,PART-0833,506,shipped,2026-07-20,2026-08-16,SITE-018
145,Frontier Aviation Components,FAC,PART-0655,989,pending,2026-08-12,2026-08-29,SITE-022
146,Summit Tactical Supply,STS,PART-0417,559,shipped,2023-01-28,2023-02-20,SITE-040
147,Sterling Power Systems,SPS,PART-0946,866,shipped,2026-09-28,2026-10-07,SITE-077
148,Falcon Electronics Group,FEG,PART-0703,591,delivered,2025-11-06,2025-12-01,SITE-098
149,Cedar Valley Manufacturing,CVM,PART-0130,713,delivered,2024-03-05,2024-03-22,SITE-049
150,Evergreen Field Support,EFS,PART-0893,360,pending,2023-08-25,2023-09-17,SITE-099
151,Evergreen Field Support,EFS,PART-0531,435,shipped,2025-07-01,2025-07-06,SITE-006
152,Vector Aerospace Supply,VAS,PART-0532,660,delivered,2025-11-21,2025-12-01,SITE-021
153,Northstar Defense Supply,NDS,PART-0520,294,pending,2023-11-03,2023-12-03,SITE-082
154,Pinnacle Hydraulic Systems,PHS,PART-0163,116,shipped,2024-10-13,2024-11-11,SITE-027
155,Patriot Precision Parts,PPP,PART-0595,858,pending,2024-02-17,2024-03-18,SITE-002
156,Vector Aerospace Supply,VAS,PART-0551,696,shipped,2024-12-18,2025-01-10,SITE-057
157,Liberty Mechanical Systems,LMS,PART-0882,806,pending,2026-05-08,2026-06-06,SITE-068
158,Titan Mobility Systems,TMS,PART-0372,865,shipped,2025-02-04,2025-03-06,SITE-077
159,Heritage Logistics Supply,HLS,PART-0323,276,shipped,2023-10-04,2023-10-29,SITE-041
160,Gulf Coast Maintenance Parts,GCMP,PART-0566,418,shipped,2024-01-24,2024-02-16,SITE-047
161,Pinnacle Hydraulic Systems,PHS,PART-0756,401,pending,2023-12-16,2024-01-10,SITE-028
162,Patriot Precision Parts,PPP,PART-0797,561,pending,2024-01-21,2024-01-27,SITE-035
163,Sentinel Equipment Supply,SES,PART-0852,775,pending,2023-05-09,2023-05-26,SITE-080
164,Gulf Coast Maintenance Parts,GCMP,PART-0630,592,shipped,2024-06-20,2024-07-07,SITE-096
165,Trident Marine Components,TMC,PART-0998,968,pending,2025-03-18,2025-04-08,SITE-062
166,Trident Marine Components,TMC,PART-0488,493,shipped,2024-09-04,2024-09-17,SITE-036
167,Sterling Power Systems,SPS,PART-0039,755,pending,2025-09-07,2025-09-28,SITE-037
168,Compass Maritime Supply,CMS,PART-0780,84,pending,2024-02-19,2024-03-11,SITE-012
169,Liberty Mechanical Systems,LMS,PART-0672,66,pending,2025-05-03,2025-05-23,SITE-085
170,Cascade Aerospace Systems,CAS,PART-0237,125,pending,2025-12-09,2025-12-13,SITE-062
171,Heritage Logistics Supply,HLS,PART-0913,399,shipped,2024-02-23,2024-03-05,SITE-007
172,Sterling Power Systems,SPS,PART-0377,866,delivered,2025-01-25,2025-02-12,SITE-044
173,Liberty Mechanical Systems,LMS,PART-0058,707,delivered,2026-08-04,2026-08-27,SITE-099
174,Liberty Mechanical Systems,LMS,PART-0990,826,delivered,2023-06-10,2023-07-09,SITE-069
175,Lone Star Equipment Group,LSEG,PART-0179,383,delivered,2026-06-17,2026-06-24,SITE-079
176,Patriot Precision Parts,PPP,PART-0036,387,delivered,2024-05-23,2024-05-30,SITE-017
177,Mesa Tactical Manufacturing,MTM,PART-0855,20,shipped,2024-07-16,2024-08-05,SITE-054
178,Atlas Ground Support,AGS,PART-0059,1000,pending,2026-08-25,2026-09-23,SITE-050
179,Blue Ridge Defense Manufacturing,BRDM,PART-0217,655,delivered,2023-12-10,2023-12-12,SITE-095
180,Harborline Industrial Supply,HIS,PART-0390,0,delivered,2026-05-27,2026-06-15,SITE-068
181,Northstar Defense Supply,NDS,PART-0036,672,delivered,2024-03-06,2024-03-25,SITE-035
182,Frontier Aviation Components,FAC,PART-0972,844,shipped,2025-01-18,2025-01-27,SITE-097
183,Summit Tactical Supply,STS,PART-0359,626,pending,2023-03-28,2023-04-17,SITE-085
184,Sterling Power Systems,SPS,PART-0021,905,delivered,2026-12-04,2026-12-09,SITE-048
185,Cedar Valley Manufacturing,CVM,PART-0766,883,pending,2026-06-21,2026-07-15,SITE-036
186,Northstar Defense Supply,NDS,PART-0044,282,pending,2026-08-24,2026-09-09,SITE-087
187,Apex Defense Components,ADC,PART-0171,511,pending,2024-12-26,2025-01-21,SITE-083
188,Apex Defense Components,ADC,PART-0989,13,shipped,2024-10-24,2024-10-30,SITE-002
189,Pinnacle Hydraulic Systems,PHS,PART-0819,568,pending,2025-10-22,2025-11-02,SITE-096
190,Titan Mobility Systems,TMS,PART-0063,262,pending,2026-05-10,2026-06-07,SITE-031
191,Frontier Aviation Components,FAC,PART-0932,176,delivered,2026-11-22,2026-12-21,SITE-075
192,Frontier Aviation Components,FAC,PART-0256,712,shipped,2025-07-07,2025-08-01,SITE-022
193,Trident Marine Components,TMC,PART-0460,726,shipped,2023-05-21,2023-05-27,SITE-062
194,Heritage Logistics Supply,HLS,PART-0632,989,pending,2024-07-26,2024-08-07,SITE-063
195,Trident Marine Components,TMC,PART-0840,583,delivered,2023-06-17,2023-06-30,SITE-051
196,Compass Maritime Supply,CMS,PART-0392,982,delivered,2025-12-15,2026-01-07,SITE-060
197,Cedar Valley Manufacturing,CVM,PART-0515,589,delivered,2025-08-11,2025-08-21,SITE-096
198,Lone Star Equipment Group,LSEG,PART-0544,655,shipped,2023-03-15,2023-03-27,SITE-036
199,Blue Ridge Defense Manufacturing,BRDM,PART-0421,163,pending,2023-02-22,2023-02-23,SITE-029
200,Sentinel Equipment Supply,SES,PART-0603,429,delivered,2026-10-05,2026-10-30,SITE-045
201,Mesa Tactical Manufacturing,MTM,PART-0312,222,delivered,2024-05-08,2024-05-11,SITE-004
202,Summit Tactical Supply,STS,PART-0603,184,shipped,2023-04-27,2023-05-22,SITE-085
203,Ironclad Industrial Systems,IIS,PART-0724,469,pending,2024-10-08,2024-10-31,SITE-065
204,Trident Marine Components,TMC,PART-0672,863,shipped,2025-07-27,2025-08-04,SITE-078
205,Heritage Logistics Supply,HLS,PART-0046,765,pending,2025-10-25,2025-11-02,SITE-038
206,Cascade Aerospace Systems,CAS,PART-0019,570,delivered,2023-11-08,2023-11-29,SITE-088
207,Apex Defense Components,ADC,PART-0304,920,shipped,2024-03-26,2024-04-05,SITE-010
208,Evergreen Field Support,EFS,PART-0561,321,delivered,2025-01-13,2025-01-25,SITE-001
209,Titan Mobility Systems,TMS,PART-0902,556,shipped,2023-05-18,2023-05-29,SITE-068
210,Cascade Aerospace Systems,CAS,PART-0125,377,delivered,2024-08-19,2024-08-25,SITE-009
211,Summit Tactical Supply,STS,PART-0617,294,shipped,2026-04-02,2026-04-06,SITE-057
212,Pinnacle Hydraulic Systems,PHS,PART-0380,691,shipped,2024-06-23,2024-07-09,SITE-024
213,Liberty Mechanical Systems,LMS,PART-0688,926,pending,2025-02-22,2025-03-21,SITE-092
214,Frontier Aviation Components,FAC,PART-0564,629,shipped,2026-11-13,2026-11-27,SITE-077
215,Patriot Precision Parts,PPP,PART-0834,558,shipped,2024-11-12,2024-11-22,SITE-035
216,Frontier Aviation Components,FAC,PART-0492,334,pending,2024-04-22,2024-04-24,SITE-079
217,Patriot Precision Parts,PPP,PART-0467,890,delivered,2026-11-16,2026-11-17,SITE-055
218,Sterling Power Systems,SPS,PART-0126,115,delivered,2025-07-07,2025-07-20,SITE-093
219,Northstar Defense Supply,NDS,PART-0325,914,delivered,2025-04-20,2025-04-21,SITE-086
220,Liberty Mechanical Systems,LMS,PART-0008,143,delivered,2025-05-10,2025-05-29,SITE-011
221,Redstone Logistics Group,RLG,PART-0324,919,pending,2024-08-23,2024-09-05,SITE-033
222,Ironclad Industrial Systems,IIS,PART-0810,105,pending,2023-03-07,2023-03-22,SITE-010
223,Summit Tactical Supply,STS,PART-0057,58,pending,2023-05-10,2023-06-06,SITE-083
224,Granite State Components,GSC,PART-0881,944,pending,2026-05-26,2026-05-28,SITE-012
225,Lone Star Equipment Group,LSEG,PART-0776,924,shipped,2023-01-03,2023-01-21,SITE-026
226,Sentinel Equipment Supply,SES,PART-0913,37,pending,2026-08-20,2026-09-05,SITE-045
227,Ironclad Industrial Systems,IIS,PART-0661,725,pending,2025-05-02,2025-05-12,SITE-008
228,Blue Ridge Defense Manufacturing,BRDM,PART-0339,540,delivered,2026-02-24,2026-03-19,SITE-095
229,Summit Tactical Supply,STS,PART-0011,802,delivered,2026-01-15,2026-02-11,SITE-022
230,Ranger Vehicle Parts,RVP,PART-0974,323,delivered,2025-05-03,2025-06-02,SITE-093
231,Sterling Power Systems,SPS,PART-0031,141,shipped,2026-02-18,2026-03-02,SITE-069
